Uniprot_A	Uniprot_B	Gene_A	Gene_B	ORF_A	ORF_B	Alias_A	Alias_B	pmid:method:quality
Q9D071	Q9D071	MMS19	MMS19			MGI:1919449	MGI:1919449	32632277:0114:LC
Q9D0D5	Q9D902	GTF2E1	GTF2E2			MGI:1921447	MGI:1915403	20211142:0018:HT|20211142:0397:HT
Q9D0D5	Q9DAI4	GTF2E1	ZBTB43			MGI:1921447	MGI:1919084	20211142:0018:HT|20211142:0397:HT
Q9D0D5	Q9JKN5	GTF2E1	OLIG1			MGI:1921447	MGI:1355334	20211142:0018:HT|20211142:0397:HT
Q9D0D5	Q9WUI0	GTF2E1	MIXL1			MGI:1921447	MGI:1351322	20211142:0018:HT|20211142:0397:HT
Q9D0F1	Q9Z1A1	NDC80	TFG			MGI:1914302	MGI:1338041	11591653:0018:HT|11591653:0397:HT
Q9D0M5	Q9D0M5	DYNLL2	DYNLL2			MGI:1915347	MGI:1915347	14561217:0114:LC
Q9D0P5	Q9D0P5	PYGO1	PYGO1			MGI:1919385	MGI:1919385	PDB_2YYR:0114:LC
Q9D0P5	Q9WUH2	PYGO1	LHX9			MGI:1919385	MGI:1316721	20211142:0018:HT|20211142:0397:HT
Q9D122	Q9D195	KRTAP4-2	LCE1G			MGI:1915923	MGI:1913445	11591653:0018:HT|11591653:0397:HT
Q9D122	Q9D1K4	KRTAP4-2	LCE1A2			MGI:1915923	MGI:1920972	11591653:0018:HT|11591653:0397:HT
Q9D195	Q9D1K4	LCE1G	LCE1A2			MGI:1913445	MGI:1920972	11591653:0018:HT|11591653:0397:HT
Q9D1A2	Q9D1A2	CNDP2	CNDP2			MGI:1913304	MGI:1913304	18550540:0114:LC
Q9D1C8	Q9D6W9	VPS28	Q9D6W9			MGI:1914164		11591653:0018:HT
Q9D1J1	Q9DBG3	NECAP2	AP2B1			MGI:1913397	MGI:1919020	31464684:0114:LC
Q9D1K4	Q9D1K4	LCE1A2	LCE1A2			MGI:1920972	MGI:1920972	11591653:0018:HT|11591653:0397:HT
Q9D2H6	Q9D2H6	SP2	SP2			MGI:1926162	MGI:1926162	20211142:0018:HT|20211142:0397:HT
Q9D2U9	Q9D2U9	HIST3H2BA	HIST3H2BA			MGI:1925553	MGI:1925553	29643389:0114:LC|28099840:0114:LC
Q9D2Y4	Q9QZL0	MLKL	RIPK3			MGI:1921818	MGI:2154952	24095729:0114:LC
Q9D309	Q9D309	FAM3B	FAM3B			MGI:1270150	MGI:1270150	23333428:0114:LC
Q9D358	Q9D358	ACP1	ACP1			MGI:87881	MGI:87881	18058037:0114:LC|28346406:0114:LC
Q9D3J5	Q9WUL8	ANKRD22	CITED4			MGI:1277101	MGI:1861694	20211142:0018:HT|20211142:0397:HT
Q9D3R3	Q9D3R3	CEP72	CEP72			MGI:1921720	MGI:1921720	11591653:0018:HT|11591653:0397:HT
Q9D4V7	Q9D4V7	RABL3	RABL3			MGI:1914907	MGI:1914907	32220963:0114:LC
Q9D6J1	Q9JKN5	CERS4	OLIG1			MGI:1914510	MGI:1355334	20211142:0018:HT|20211142:0397:HT
Q9D6J5	Q9DCS9	NDUFB8	NDUFB10			MGI:1914514	MGI:1915592	29915388:0114:LC|33514727:0114:LC|33067417:0114:LC|33990335:0114:LC
Q9D6K9	Q9EPK5	CERS5	WWTR1			MGI:1919199	MGI:1917649	20211142:0018:HT|20211142:0397:HT
Q9D6K9	Q9JL10	CERS5	SERTAD1			MGI:1919199	MGI:1913438	20211142:0018:HT|20211142:0397:HT
Q9D6S9	Q9DCW2	2310061N02RIK	PLSCR2			MGI:1916911	MGI:1270860	11591653:0018:HT|11591653:0397:HT
Q9D6W8	Q9D9Z1	BORCS6	KNSTRN			MGI:1919173	MGI:1289298	11591653:0018:HT|11591653:0397:HT
Q9D777	Q9D777	TNFSF13	TNFSF13			MGI:1916833	MGI:1916833	15542592:0114:LC|15451660:0114:LC|19945466:0114:LC
Q9D7G9	Q9D7G9	MAPK1IP1	MAPK1IP1			MGI:1916796	MGI:1916796	11591653:0018:HT|11591653:0397:HT
Q9D7V9	Q9D7V9	NAAA	NAAA			MGI:1914361	MGI:1914361	30301806:0114:LC
Q9D7W5	Q9D8C6	MED8	MED11	MNCB-2386		MGI:1915269	MGI:1913422	31402173:0114:LC
Q9D882	Q9JJC8	FAM241B	NIPA2		MNCB-2146	MGI:1917144	MGI:1913918	11591653:0018:HT|11591653:0397:HT
Q9D8L5	Q9D8L5	CCDC91	CCDC91			MGI:1914265	MGI:1914265	11591653:0018:HT|11591653:0397:HT
Q9D8M7	Q9JKU8	PHF10	LMX1A			MGI:1919307	MGI:1888519	20211142:0018:HT|20211142:0397:HT
Q9D8Q7	Q9D8Q7	CLEC4B1	CLEC4B1			MGI:1917060	MGI:1917060	32139512:0114:LC
Q9D8T2	Q9D8T2	GSDMD	GSDMD			MGI:1916396	MGI:1916396	32553275:0114:LC|31097341:0114:LC|32109412:0114:LC|29576317:0114:LC
Q9D8U8	Q9D8U8	SNX5	SNX5			MGI:1916428	MGI:1916428	28252385:0114:LC
Q9D902	Q9DBS8	GTF2E2	POC5			MGI:1915403	MGI:1914713	11591653:0018:HT|11591653:0397:HT
Q9D902	Q9DCP9	GTF2E2	DAZAP2			MGI:1915403	MGI:1344344	20211142:0018:HT|20211142:0397:HT
Q9D967	Q9D967	MDP1	MDP1			MGI:1915131	MGI:1915131	10956028:0114:LC|15461449:0114:LC
Q9D9X8	Q9D9X8	SPACA3	SPACA3			MGI:1922872	MGI:1922872	26198801:0114:LC
Q9DAR7	Q9DAR7	DCPS	DCPS			MGI:1916555	MGI:1916555	16001405:0114:LC
Q9DB40	Q9DB91	MED27	MED29			MGI:1916225	MGI:1914474	31402173:0114:LC
Q9DB40	Q9R0X0	MED27	MED20			MGI:1916225	MGI:1929648	31402173:0114:LC
Q9DBD0	Q9DBD0	ICA	ICA			MGI:1919025	MGI:1919025	20572014:0114:LC
Q9DBE0	Q9DBE0	CSAD	CSAD			MGI:2180098	MGI:2180098	33253877:0114:LC
Q9DBG9	Q9DBG9	TAX1BP3	TAX1BP3			MGI:1923531	MGI:1923531	18835279:0114:LC
Q9DBS2	Q9DBS2	TPRG1L	TPRG1L			MGI:1915058	MGI:1915058	11591653:0018:HT|11591653:0397:HT
Q9DBS8	Q9DBS8	POC5	POC5			MGI:1914713	MGI:1914713	11591653:0018:HT|11591653:0397:HT
Q9DBV4	Q9DBV4	MXRA8	MXRA8			MGI:1922011	MGI:1922011	31080063:0114:LC|31080061:0114:LC
Q9DC23	Q9DC23	DNAJC10	DNAJC10			MGI:1914111	MGI:1914111	21329881:0114:LC
Q9DC28	Q9DC28	CSNK1D	CSNK1D			MGI:1355272	MGI:1355272	28886336:0114:LC|24100552:0114:LC
Q9DC69	Q9DC70	NDUFA9	NDUFS7			MGI:1913358	MGI:1922656	29915388:0114:LC|33514727:0114:LC|33067417:0114:LC|33990335:0114:LC
Q9DC69	Q9DCT2	NDUFA9	NDUFS3			MGI:1913358	MGI:1915599	29915388:0114:LC|33514727:0114:LC|33067417:0114:LC|33990335:0114:LC
Q9DC70	Q9DCT2	NDUFS7	NDUFS3			MGI:1922656	MGI:1915599	29915388:0114:LC|33514727:0114:LC|33067417:0114:LC|33990335:0114:LC
Q9DC70	Q9Z1P6	NDUFS7	NDUFA7			MGI:1922656	MGI:1913666	29915388:0114:LC|33514727:0114:LC|33067417:0114:LC|33990335:0114:LC
Q9DCC4	Q9DCC4	PYCR3	PYCR3			MGI:1913444	MGI:1913444	11591653:0018:HT|11591653:0397:HT
Q9DCD6	Q9DCD6	GABARAP	GABARAP			MGI:1861742	MGI:1861742	29867141:0114:LC
Q9DCJ5	Q9ERS2	NDUFA8	NDUFA13			MGI:1915625	MGI:1914434	29915388:0114:LC|33514727:0114:LC|33067417:0114:LC|33990335:0114:LC
Q9DCN1	Q9DCN1	NUDT12	NUDT12			MGI:1915243	MGI:1915243	31101919:0114:LC
Q9DCT2	Q9Z1P6	NDUFS3	NDUFA7			MGI:1915599	MGI:1913666	29915388:0114:LC|33514727:0114:LC|33067417:0114:LC|33990335:0114:LC
Q9DCV7	Q9QWL7	KRT7	KRT17			MGI:96704	MGI:96691	11591653:0397:HT
Q9DCV7	Q9Z320	KRT7	KRT27			MGI:96704	MGI:1339999	11591653:0397:HT
Q9DCX8	Q9DCX8	IYD	IYD			MGI:1917587	MGI:1917587	19436071:0114:LC|22238141:0114:LC
Q9EP71	Q9WUL8	RAI14	CITED4			MGI:1922896	MGI:1861694	20211142:0018:HT|20211142:0397:HT
Q9EP73	Q9EP73	CD274	CD274			MGI:1926446	MGI:1926446	21884581:0012:LC|33437940:0114:LC
Q9EPB4	Q9EPB4	PYCARD	PYCARD			MGI:1931465	MGI:1931465	26464513:0114:LC
Q9EPK5	Q9EPK5	WWTR1	WWTR1			MGI:1917649	MGI:1917649	28515457:0114:LC
Q9EPK5	Q9WVB3	WWTR1	TLE6			MGI:1917649	MGI:2149593	20211142:0018:HT|20211142:0397:HT
Q9EPR5	Q9EPR5	SORCS2	SORCS2			MGI:1932289	MGI:1932289	30061605:0114:LC
Q9EQF4	Q9EQF4	IZUMO1R	IZUMO1R			MGI:1929185	MGI:1929185	26859261:0114:LC
Q9EQG7	Q9EQG7	ENPP5	ENPP5			MGI:1933830	MGI:1933830	28898552:0114:LC
Q9EQH3	Q9EQH3	VPS35	VPS35			MGI:1890467	MGI:1890467	32027819:0114:LC
Q9EQH3	Q9QZ88	VPS35	VPS29			MGI:1890467	MGI:1928344	20923837:0018:LC|32027819:0114:LC|15965486:0019:LC|15965486:0065:LC|15965486:0096:LC|15965486:0004:LC
Q9EQJ0	Q9EQJ0	TPCN1	TPCN1			MGI:2182472	MGI:2182472	29562233:0114:LC
Q9EQK5	Q9EQK5	MVP	MVP			MGI:1925638	MGI:1925638	19779459:0114:LC
Q9EQU3	Q9EQU3	TLR9	TLR9			MGI:1932389	MGI:1932389	29961984:0114:LC
Q9EQW7	Q9EQW7	KIF13A	KIF13A			MGI:1098264	MGI:1098264	26680000:0114:LC
Q9EQY0	Q9EQY0	ERN1	ERN1			MGI:1930134	MGI:1930134	25164867:0114:LC
